domain,L,response,predictor,predictor_label,rho,p,n
potomac2,10,f_temp,phi,Aridity φ (PET/P),0.02833925315276195,nan,3579
potomac2,10,f_temp,P_mm,Annual P,-0.027863607144677935,nan,3579
potomac2,10,f_temp,PET_mm,Hamon PET,0.04010107142297266,nan,3579
potomac2,10,f_temp,participation,Overland participation,-0.1321181909382509,nan,3579
potomac2,10,f_temp,flow,Mean overland flow,-0.05965228218021775,nan,3579
potomac2,10,f_temp,R_index,Overland depth / P,-0.06386257350274098,nan,3579
potomac2,10,f_temp,wtd,Baseline WTD,-0.05893866095713917,nan,3579
potomac2,10,f_temp,recharge,Local recharge,-0.06924419733959702,nan,3579
potomac2,10,f_temp,E_proxy,1 − recharge/P,0.08606533936395135,nan,3579
potomac2,10,f_temp,dist_km,Dist. to stream,0.09879893491491865,nan,3579
potomac2,10,f_temp,log10_k_top,log₁₀ K (top),0.007705834301827325,nan,3579
potomac2,10,temporary,phi,Aridity φ (PET/P),0.08977249038082404,nan,3579
potomac2,10,temporary,P_mm,Annual P,-0.11202147209413213,nan,3579
potomac2,10,temporary,PET_mm,Hamon PET,0.0701815116001904,nan,3579
potomac2,10,temporary,participation,Overland participation,-0.32853153498008064,nan,3579
potomac2,10,temporary,flow,Mean overland flow,-0.2672339560579623,nan,3579
potomac2,10,temporary,R_index,Overland depth / P,-0.267727473699747,nan,3579
potomac2,10,temporary,wtd,Baseline WTD,0.012826907277901388,nan,3579
potomac2,10,temporary,recharge,Local recharge,-0.060723857232953087,nan,3579
potomac2,10,temporary,E_proxy,1 − recharge/P,0.03645572721428936,nan,3579
potomac2,10,temporary,dist_km,Dist. to stream,0.0688395368658631,nan,3579
potomac2,10,temporary,log10_k_top,log₁₀ K (top),0.017102054601023906,nan,3579
potomac2,10,persistent,phi,Aridity φ (PET/P),0.34264752558402395,nan,3579
potomac2,10,persistent,P_mm,Annual P,-0.3910526190436036,nan,3579
potomac2,10,persistent,PET_mm,Hamon PET,0.2568340802956043,nan,3579
potomac2,10,persistent,participation,Overland participation,-0.4739030081394277,nan,3579
potomac2,10,persistent,flow,Mean overland flow,-0.4289882481967655,nan,3579
potomac2,10,persistent,R_index,Overland depth / P,-0.4145552292703583,nan,3579
potomac2,10,persistent,wtd,Baseline WTD,-0.03214488976017713,nan,3579
potomac2,10,persistent,recharge,Local recharge,-0.16676739375871175,nan,3579
potomac2,10,persistent,E_proxy,1 − recharge/P,0.06311957386440624,nan,3579
potomac2,10,persistent,dist_km,Dist. to stream,-0.2101724466854178,nan,3579
potomac2,10,persistent,log10_k_top,log₁₀ K (top),-0.04613827267498274,nan,3579
potomac2,50,f_temp,phi,Aridity φ (PET/P),0.08243259141809506,nan,3594
potomac2,50,f_temp,P_mm,Annual P,-0.07677190982308743,nan,3594
potomac2,50,f_temp,PET_mm,Hamon PET,0.09548929187211612,nan,3594
potomac2,50,f_temp,participation,Overland participation,-0.1354735196483461,nan,3594
potomac2,50,f_temp,flow,Mean overland flow,-0.057321801516146284,nan,3594
potomac2,50,f_temp,R_index,Overland depth / P,-0.058576422808981954,nan,3594
potomac2,50,f_temp,wtd,Baseline WTD,-0.11738240083626082,nan,3594
potomac2,50,f_temp,recharge,Local recharge,-0.11589772608185035,nan,3594
potomac2,50,f_temp,E_proxy,1 − recharge/P,0.12816214450286384,nan,3594
potomac2,50,f_temp,dist_km,Dist. to stream,0.0742768597391917,nan,3594
potomac2,50,f_temp,log10_k_top,log₁₀ K (top),-0.01062477604861303,nan,3594
potomac2,50,temporary,phi,Aridity φ (PET/P),0.10299155119050989,nan,3594
potomac2,50,temporary,P_mm,Annual P,-0.12386227296167765,nan,3594
potomac2,50,temporary,PET_mm,Hamon PET,0.08432835655528176,nan,3594
potomac2,50,temporary,participation,Overland participation,-0.3280756395178814,nan,3594
potomac2,50,temporary,flow,Mean overland flow,-0.2661257458901394,nan,3594
potomac2,50,temporary,R_index,Overland depth / P,-0.26440559373708533,nan,3594
potomac2,50,temporary,wtd,Baseline WTD,-0.0059021607895254225,nan,3594
potomac2,50,temporary,recharge,Local recharge,-0.07035889509552601,nan,3594
potomac2,50,temporary,E_proxy,1 − recharge/P,0.04464956082637074,nan,3594
potomac2,50,temporary,dist_km,Dist. to stream,0.06234184901297357,nan,3594
potomac2,50,temporary,log10_k_top,log₁₀ K (top),0.01014111481990296,nan,3594
potomac2,50,persistent,phi,Aridity φ (PET/P),0.15015707164571543,nan,3594
potomac2,50,persistent,P_mm,Annual P,-0.22079040883215167,nan,3594
potomac2,50,persistent,PET_mm,Hamon PET,0.06245566613057349,nan,3594
potomac2,50,persistent,participation,Overland participation,-0.47914379571964083,nan,3594
potomac2,50,persistent,flow,Mean overland flow,-0.4767995004808057,nan,3594
potomac2,50,persistent,R_index,Overland depth / P,-0.4703659868228043,nan,3594
potomac2,50,persistent,wtd,Baseline WTD,0.16068132107076452,nan,3594
potomac2,50,persistent,recharge,Local recharge,0.016302092636048815,nan,3594
