domain,L,metric,kind,covar,covar_label,rho,p,n
potomac2,1,storage,temporary,dist_to_stream,Dist. to stream,0.092136117209814,2.830915067136565e-08,3613
potomac2,1,storage,temporary,HAND,HAND,-0.11174263257386954,1.5620102514214108e-11,3613
potomac2,1,storage,temporary,rel_elev,Rel. elevation,-0.12680613740792251,1.8569637248800973e-14,3613
potomac2,1,storage,temporary,slope_mag,Slope,-0.07344788225189292,9.771224996660422e-06,3615
potomac2,1,storage,temporary,baseline_WTD,Baseline WTD,-0.018713615776832167,0.26066613681980194,3615
potomac2,1,storage,temporary,local_recharge_base,Local recharge (base),-0.07735962994008275,3.1834335891715615e-06,3615
potomac2,1,storage,temporary,PME_static,Static PME,-0.0297822452601178,0.0733832127153774,3615
potomac2,1,storage,temporary,porosity_col,Porosity (col.),0.36184789971987624,7.490506194083268e-115,3615
potomac2,1,storage,temporary,log10_K_col,log₁₀ K (col.),0.004972075713587744,0.765074491019871,3615
potomac2,1,storage,temporary,log10_K_top,log₁₀ K (top),-0.15433201439153738,8.760377740266989e-21,3615
potomac2,1,storage,temporary,flowbarrier_min,Flow barrier (min),0.03826829229187033,0.02138909405462062,3615
potomac2,1,storage,temporary,sand_frac,Sand fraction,-0.07076204154807937,2.0886935355620065e-05,3607
potomac2,1,storage,temporary,clay_frac,Clay fraction,0.031823965709091746,0.05598610363454497,3607
potomac2,1,storage,temporary,mannings,Mannings,0.005037373122158773,0.7620817116173937,3615
potomac2,1,storage,persistent,dist_to_stream,Dist. to stream,-0.18423904078809372,4.191686889428475e-29,3613
potomac2,1,storage,persistent,HAND,HAND,-0.1171698055781016,1.5224345565420428e-12,3613
potomac2,1,storage,persistent,rel_elev,Rel. elevation,-0.1436423569629691,3.605072841029213e-18,3613
potomac2,1,storage,persistent,slope_mag,Slope,-0.11807056649689979,1.0089217901414637e-12,3615
potomac2,1,storage,persistent,baseline_WTD,Baseline WTD,-0.08374938790426692,4.531683670100298e-07,3615
potomac2,1,storage,persistent,local_recharge_base,Local recharge (base),-0.11291888360119098,9.394823845619253e-12,3615
potomac2,1,storage,persistent,PME_static,Static PME,-0.1934282369685969,5.355692772306789e-32,3615
potomac2,1,storage,persistent,porosity_col,Porosity (col.),0.20069587819402104,2.20891229048936e-34,3615
potomac2,1,storage,persistent,log10_K_col,log₁₀ K (col.),0.3645524867683989,1.0256733906620061e-116,3615
potomac2,1,storage,persistent,log10_K_top,log₁₀ K (top),-0.3334876071811457,1.8990848242572075e-96,3615
potomac2,1,storage,persistent,flowbarrier_min,Flow barrier (min),-0.07517259768643511,5.999530353971703e-06,3615
potomac2,1,storage,persistent,sand_frac,Sand fraction,-0.024572696827110236,0.14008416117682868,3607
potomac2,1,storage,persistent,clay_frac,Clay fraction,-0.029880539035598706,0.07275536962233832,3607
potomac2,1,storage,persistent,mannings,Mannings,-0.006755503263145678,0.6847342531570517,3615
potomac2,1,WTD,temporary,dist_to_stream,Dist. to stream,0.32402850638136826,1.0510108214184828e-90,3613
potomac2,1,WTD,temporary,HAND,HAND,-0.19639371767019864,6.091406766724077e-33,3613
potomac2,1,WTD,temporary,rel_elev,Rel. elevation,-0.22717662342178332,7.094866533748749e-44,3613
potomac2,1,WTD,temporary,slope_mag,Slope,-0.281749535729819,7.717841117500411e-68,3615
potomac2,1,WTD,temporary,baseline_WTD,Baseline WTD,-0.24216546596973287,7.053090838334832e-50,3615
potomac2,1,WTD,temporary,local_recharge_base,Local recharge (base),-0.15877221963139995,6.355789911325748e-22,3615
potomac2,1,WTD,temporary,PME_static,Static PME,0.034939727786393794,0.035664686764616746,3615
potomac2,1,WTD,temporary,porosity_col,Porosity (col.),0.1456688843073478,1.1713610712826512e-18,3615
potomac2,1,WTD,temporary,log10_K_col,log₁₀ K (col.),0.10524412466840348,2.1718044595988893e-10,3615
potomac2,1,WTD,temporary,log10_K_top,log₁₀ K (top),0.06064802646639259,0.0002628329177476622,3615
potomac2,1,WTD,temporary,flowbarrier_min,Flow barrier (min),0.4442122194050233,4.318306007379506e-181,3615
potomac2,1,WTD,temporary,sand_frac,Sand fraction,0.06882222801645506,3.5008867047040896e-05,3607
potomac2,1,WTD,temporary,clay_frac,Clay fraction,0.04100486663155903,0.013776473087144919,3607
potomac2,1,WTD,temporary,mannings,Mannings,0.038743601380783525,0.019824480442591084,3615
potomac2,1,WTD,persistent,dist_to_stream,Dist. to stream,-0.05834071816152493,0.00044931060394096307,3613
potomac2,1,WTD,persistent,HAND,HAND,0.01920139988927616,0.24857199754646342,3613
potomac2,1,WTD,persistent,rel_elev,Rel. elevation,-0.003939704700060119,0.8128805446984965,3613
potomac2,1,WTD,persistent,slope_mag,Slope,0.141122899312947,1.360203509039838e-17,3615
potomac2,1,WTD,persistent,baseline_WTD,Baseline WTD,0.024565914721736307,0.1397543196094183,3615
potomac2,1,WTD,persistent,local_recharge_base,Local recharge (base),0.02557514417131743,0.12419555926597035,3615
potomac2,1,WTD,persistent,PME_static,Static PME,-0.10069601561519033,1.2601096910627474e-09,3615
potomac2,1,WTD,persistent,porosity_col,Porosity (col.),-0.01495711921010576,0.3686586991272578,3615
potomac2,1,WTD,persistent,log10_K_col,log₁₀ K (col.),0.050599638669197346,0.0023373977517573545,3615
potomac2,1,WTD,persistent,log10_K_top,log₁₀ K (top),-0.21429289132128365,4.187324581835485e-39,3615
potomac2,1,WTD,persistent,flowbarrier_min,Flow barrier (min),-0.04413949617304651,0.00794248945176173,3615
potomac2,1,WTD,persistent,sand_frac,Sand fraction,0.03743936274704387,0.024534107664414127,3607
potomac2,1,WTD,persistent,clay_frac,Clay fraction,-0.03915976242135194,0.018668081669825632,3607
potomac2,1,WTD,persistent,mannings,Mannings,0.0673970531536548,4.9769434091258453e-05,3615
potomac2,3,storage,temporary,dist_to_stream,Dist. to stream,0.06965948495520685,2.7631153511347125e-05,3613
