huc8,name,n_gages,rsr_lt,n_lt,med_sim_over_obs_lt,max_drain_mi2,outlet_gage,tidal_hint,rsr_source,rsr_lt_recomputed,error
01080101,Upper Androscoggin,11,0.444104203626241,8,0.5265290139720981,2644.0,01138500,False,this_screen,,
01080201,Black-Ottauquechee,21,0.7078608944985278,14,0.7828120002149328,8332.0,01172010,False,this_screen,,
01090001,Upper Connecticut,54,1.7426917153872223,41,1.9453418405567642,271.0,01104615,False,this_screen,,
02020003,Middle Hudson,25,0.3588823415434667,15,1.0950657667555026,8090.0,01358000,False,this_screen,,
02040101,Upper Delaware,33,0.28034094443782487,11,1.2142694854309046,2020.0,01428500,False,this_screen,,
02040103,Lackawaxen,14,1.2240388846902017,7,1.6886611078000937,542.0,01432055,False,this_screen,,
02050101,Upper Susquehanna,18,0.04004187388586179,9,0.951742230122857,2232.0,01503000,False,this_screen,,
02050102,Chenango,17,0.22845492929067002,6,0.9204336165144955,1483.0,01512500,False,this_screen,,
02050201,Upper West Branch Susquehanna,10,0.059305518791805,6,0.9941055445312609,1462.0,01542500,False,this_screen,,
02050202,Sinnemahoning,6,0.0812285490298274,6,0.9988203561135798,685.0,01543500,False,this_screen,,
02070001,South Branch Potomac,11,0.5225585695950178,7,1.6870791672845107,1461.0,01608500,False,jul2026_midatlantic_csv,0.6101494079493354,
02070002,North Branch Potomac,28,0.7359333234613726,21,1.4647157721370723,877.0,01603000,False,this_screen,,
02070003,Cacapon-Town,10,1.373961421953408,2,3.6869183467951387,3129.0,01610000,False,this_screen,,
02070004,South Fork Shenandoah,27,0.9830063461393315,14,2.104023674150329,5955.0,01618000,False,this_screen,,
02070005,North Fork Shenandoah,23,0.8971443402621799,5,4.745718063073356,1634.0,01631000,False,this_screen,,
02070008,Middle Potomac-Catoctin,39,0.22078496631597316,27,1.813422655657677,11560.0,01646500,False,jul2026_midatlantic_csv,1.397416747568857,
02060003,Gunpowder-Patapsco,86,0.6772022656360805,64,1.7233377147246052,314.0,01584000,True,jul2026_midatlantic_csv,2.093915291783315,
02060006,Patuxent,21,0.5180354331588181,15,1.9052756479582176,348.0,01594440,False,jul2026_midatlantic_csv,1.495610272721419,
02080109,Nanticoke,11,0.5231522147357548,4,1.2498680146705183,75.4,01487000,False,jul2026_midatlantic_csv,1.2320176151999238,
02080111,Pocomoke-W Lower Delmarva,5,0.5170988941287031,5,1.8225572686268832,60.5,01485000,False,jul2026_midatlantic_csv,0.7355879415149418,
03010101,Upper Roanoke,25,0.8858454757354832,18,2.3635068711178757,1782.0,02060500,False,this_screen,,
