huc8,name,rsr_lt,n_lt,n_gages,max_drain_mi2,outlet_gage,headwater,tidal_hint,hard_reject,region,n_active,wtd_p10,wtd_p50,wtd_p90,frac_wtd_2_20,frac_wtd_le2,phi_mean,phi_p50,P_mean_mm,PET_mean_mm,stream_wtd_p10,stream_wtd_p50,upland_wtd_p50,corridor_contrast,track_label
01080101,Upper Androscoggin,0.444104203626241,8,11,2644.0,01138500,True,False,,eastern,3401,0.026462306633486646,0.8913462041940164,122.508454808543,0.11114378124081152,0.5127903557777125,0.5822139289497187,0.5799014948908888,880.9186476092982,506.1701437901771,0.0,0.0,42.62245102135678,42.62245102135678,neither_wolf_clone
01080201,Black-Ottauquechee,0.7078608944985278,14,21,8332.0,01172010,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
01090001,Upper Connecticut,1.7426917153872223,41,54,271.0,01104615,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
02020003,Middle Hudson,0.3588823415434667,15,25,8090.0,01358000,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
02040101,Upper Delaware,0.28034094443782487,11,33,2020.0,01428500,True,False,,eastern,2955,0.011087316333093351,17.663601766348297,92.19143923556514,0.06937394247038917,0.44568527918781725,0.4397594189339771,0.4400900173603585,1302.295211957306,571.3823937511586,0.0,0.0,61.89258077948747,61.89258077948747,neither
02040103,Lackawaxen,1.2240388846902017,7,14,542.0,01432055,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
02050101,Upper Susquehanna,0.04004187388586179,9,18,2232.0,01503000,True,False,,eastern,5412,0.011409324615108645,25.34454230862217,96.42152057692155,0.05672579453067258,0.40761271249076125,0.46831327814879664,0.47191086781900293,1231.9947481161864,575.2063539075829,0.0,0.0,76.00595917296421,76.00595917296421,neither
02050102,Chenango,0.22845492929067002,6,17,1483.0,01512500,True,False,,eastern,3893,0.012629390942382824,19.675698863882932,85.16469640928028,0.06139224248651426,0.44027742101207296,0.48923272866925066,0.4863571424919118,1188.7214754402692,580.106122880442,0.0,0.0,62.944552692168145,62.944552692168145,neither
02050201,Upper West Branch Susquehanna,0.059305518791805,6,10,1462.0,01542500,True,False,,eastern,3846,0.011995977906002878,9.328403298811544,69.49709533049564,0.17888715548621945,0.43109724388975557,0.486482873097308,0.48740008015576197,1257.6771299073612,610.6173604678382,0.0,0.0,38.8289632322684,38.8289632322684,neither
02050202,Sinnemahoning,0.0812285490298274,6,6,685.0,01543500,True,False,,eastern,2654,0.02123139814568582,15.617212240466387,99.22218244549285,0.12132629992464206,0.407309721175584,0.4553171620240949,0.45161788310891915,1258.4183980113803,571.6973436704433,0.0,0.00045845747376409345,68.48731157748263,68.48685312000886,neither
02070001,South Branch Potomac,0.5225585695950178,7,11,1461.0,01608500,True,False,,eastern,3727,0.012313842138897807,30.431153810238314,223.93065307506697,0.040783471961363026,0.42956801717198817,0.48423661569965887,0.48978048500741683,1347.9298039158534,650.3608575575566,0.0,0.0,141.0721992650631,141.0721992650631,neither_deep_like_potomac
02070002,North Branch Potomac,0.7359333234613726,21,28,877.0,01603000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
02070003,Cacapon-Town,1.373961421953408,2,10,3129.0,01610000,marginal,False,,eastern,,,,,,,,,,,,,,,reject_rsr
02070004,South Fork Shenandoah,0.9830063461393315,14,27,5955.0,01618000,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
02070005,North Fork Shenandoah,0.8971443402621799,5,23,1634.0,01631000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
02070008,Middle Potomac-Catoctin,0.22078496631597316,27,39,11560.0,01646500,False,False,corridor (mainstem Potomac),eastern,,,,,,,,,,,,,,,reject
02060003,Gunpowder-Patapsco,0.6772022656360805,64,86,314.0,01584000,True,True,tidal name hint,eastern,,,,,,,,,,,,,,,reject
02060006,Patuxent,0.5180354331588181,15,21,348.0,01594440,True,False,,eastern,2353,0.027940721798505683,0.21759700112238925,1.2023382373062137,0.07309817254568636,0.9252018699532512,0.5070065951892629,0.5059693093617739,1570.7950840344738,794.1664430112135,0.0,0.0,0.6018818379161993,0.6018818379161993,neither_wolf_clone
02080109,Nanticoke,0.5231522147357548,4,11,75.4,01487000,True,False,tidal Coastal Plain risk,eastern,,,,,,,,,,,,,,,reject
02080111,Pocomoke-W Lower Delmarva,0.5170988941287031,5,5,60.5,01485000,True,False,,eastern,1966,0.07729225652406393,0.14346633354834298,0.2690050369285589,0.0,1.0,0.569312017538065,0.5673680644415147,1460.9247640771957,830.3392238854992,0.0,0.00014457207540932604,0.20198662987064955,0.20184205779524023,neither_wolf_clone
03010101,Upper Roanoke,0.885845475735483,18,25,1782.0,02060500,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03010103,Middle Roanoke,0.9845534350287315,12,16,1778.0,02074218,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03020101,Upper Neuse,0.8241458543541728,6,14,930.0,02082610,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03030003,Upper Cape Fear,0.7432204758565023,8,12,1434.0,02102000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03050101,Seneca (Savannah headwaters),1.5533574707937154,27,37,1460.0,02142500,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03060103,Upper Oconee,0.7998066935313032,5,11,6150.0,02195000,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
03130001,Upper Chattahoochee,1.386941330089762,35,45,1450.0,02336000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
03150101,Conasauga,0.4929549623566913,7,11,687.0,02387000,True,False,,eastern,1894,0.08158575426856661,0.5773664187402487,80.65801903932994,0.03801478352692714,0.7676874340021119,0.45427720283725187,0.4652082111840905,1939.1321660721421,875.2822114764172,0.0012064107293684558,0.004364171945637961,0.825514957736082,0.821150785790444,neither_wolf_clone
04100003,St Joseph (Maumee),0.7064799092675293,9,14,1930.0,04182950,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
04120101,Niagara,1.4083243786567292,8,9,175.0,04213000,True,False,corridor (Niagara / Great Lakes),eastern,,,,,,,,,,,,,,,reject
04140201,Upper St Lawrence,0.6529654935215304,39,66,3156.0,04237575,marginal,False,,eastern,8426,0.0696421889855656,0.9371068001587377,103.88379077886087,0.07061476382625208,0.529314028008545,0.6857410882365454,0.6799996040058103,916.045727318042,621.5842803421294,0.0,0.0,48.356564037515,48.356564037515,reject_rsr
05010001,Allegheny Headwaters,0.11542415304650204,6,15,2180.0,03012550,True,False,,eastern,6187,0.014625458267268162,6.024780315635912,72.07056359688254,0.10764506222725069,0.4886051398092775,0.46373175199250594,0.4618942871309837,1202.5316293391077,556.5414519114498,0.0,0.0,52.42709706443482,52.42709706443482,neither
05010003,Middle Allegheny-Tionesta,0.21192305857055355,6,13,5982.0,03025500,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
05020001,Tygart Valley,0.2058119567761179,11,17,1367.0,03057000,True,False,,eastern,3354,0.005044656302907605,10.12530290620257,105.42784481125996,0.13327370304114491,0.44841979725700654,0.41822790005632965,0.4256445433916435,1577.5722506516283,650.974234154532,0.0,0.0,44.181968581734594,44.181968581734594,neither
05020004,Cheat,0.21031045950603652,14,35,1375.0,03071500,True,False,,eastern,3275,0.007935075444097677,34.080536839029065,175.38652295758155,0.09587786259541985,0.3251908396946565,0.39236165545722673,0.3903213058108329,1560.6200621611358,608.3556273595536,0.0,0.0,91.94833999587117,91.94833999587117,neither_deep_like_potomac
05050001,Upper New,0.8654767951858305,10,16,2767.0,03171000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
05050002,Middle New,0.33544136540168595,9,18,4622.0,03180000,marginal,False,,eastern,4117,0.007176139158923723,23.31787441694878,154.19303543288174,0.08258440612096186,0.39251882438668934,0.48348148693468596,0.4905092631161186,1433.7534858052857,691.0499705110109,0.0,0.0,72.43942398797113,72.43942398797113,neither
05060001,Gauley,0.8213696837999566,20,46,2638.0,03230000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
05070201,Upper Great Miami,0.8703925576242959,7,25,3897.0,03215000,marginal,False,,eastern,,,,,,,,,,,,,,,reject_rsr
05080001,Upper Wabash,0.6330674649369189,19,37,1149.0,03263000,True,False,,eastern,5964,0.11853718598700118,0.5250459691535815,0.7603789900898289,0.02012072434607646,0.9641180415828303,0.5753692382756085,0.5767121370724562,1209.1733139422686,694.1618639229392,0.0,3.795209240673519e-05,0.6611994470537161,0.6611614949613094,reject_rsr
05120101,Tippecanoe,0.9848882529354084,13,18,2686.0,03327500,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
05130101,Upper Cumberland,0.7163045476238582,16,21,1977.0,03404500,True,True,tidal name hint,eastern,,,,,,,,,,,,,,,reject
05130105,South Fork Cumberland,0.6048941202894702,4,5,936.0,03417000,True,False,,eastern,2308,0.005492794959661575,4.97058660529332,66.41941947595994,0.18717504332755633,0.48873483535528595,0.4415974507378223,0.44271818306086397,1818.7231177452693,801.4836562366586,0.0,0.0,34.6628041046682,34.6628041046682,reject_rsr
06010102,South Fork Holston,0.4523408540792207,6,17,1935.0,03487500,True,False,,eastern,2888,0.009143131932864163,0.5153989181576212,121.2543887639968,0.07756232686980609,0.6253462603878116,0.45482501355256766,0.4614118302771648,1657.1212943503565,750.7768489151498,0.0,0.0,24.275645775964495,24.275645775964495,neither_wolf_clone
06010104,Watauga,1.1901053399036932,6,12,3747.0,03495500,marginal,False,,eastern,,,,,,,,,,,,,,,reject_rsr
06020001,Upper Clinch,1.349622638724919,11,17,21400.0,03568000,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
06020002,Powell,0.29149815141195007,8,29,2298.0,03566000,True,False,,eastern,5149,0.01016662721908071,0.42685881699457434,128.31002144229012,0.055738978442416,0.6675082540299088,0.4286267290446488,0.4302063597812258,1919.6704835161345,819.7874790142855,0.0,0.0,19.220699067692596,19.220699067692596,neither_wolf_clone
06030001,Hiwassee,0.7977800302792217,4,8,24340.0,03573500,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
07010101,Mississippi Headwaters,1.2148523888350373,3,4,2850.0,05207600,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
07010104,Leech Lake,0.786863884820194,4,5,11000.0,05261000,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
07020001,Minnesota Headwaters,1.9560586170840688,4,7,1340.0,05292500,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
07030005,Upper Chippewa,0.17511189387446116,12,19,7650.0,05344490,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
07070001,Turkey,1.699876504897748,6,17,1220.0,05392000,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
07120001,Kankakee,0.5437513277449341,7,21,5150.0,05527500,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
08010210,Wolf,1.3600861904397619,6,14,788.0,07031740,True,False,,eastern,1471,0.13899599211669164,0.5243207216517233,8.642948765617097,0.16655336505778381,0.8259687287559483,0.514334531444294,0.510403306751356,1761.2714943952665,905.1311270130658,0.0038158347159969624,0.007067813081133109,1.379867162948273,1.37279934986714,reject_rsr
08020203,Yalobusha,,0,13,6475.0,07047902,False,False,likely corridor (max gage drain >=5000 mi2),eastern,,,,,,,,,,,,,,,reject
08030201,Upper Hatchie,,0,14,1750.0,07273500,True,False,,eastern,,,,,,,,,,,,,,,reject_rsr
10020001,Red Rock (Missouri headwaters),161.67527734683807,2,14,1555.0,06014500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10020004,Madison,2.0550150897019424,11,23,2790.7,06026420,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10030101,Yellowstone Headwaters,1.6161498391354852,12,37,17739.0,06071500,False,False,likely corridor (max gage drain >=5000 mi2),interior,,,,,,,,,,,,,,,reject
10180001,North Platte Headwaters,0.651259023784669,3,30,1431.0,06620000,True,False,,interior,3467,0.6721262911572811,11.355013163194252,211.22659837071487,0.20334583213152582,0.36602249783674645,3.522925058477656,2.8210596823604615,239.9326681350412,427.40499329660935,0.18588329978813845,0.527688169539897,14.555250309778849,14.027562140238953,reject_rsr
10190001,South Platte Headwaters,1.2483460928326706,7,16,1084.0,06696200,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10250001,Arikaree,7.533358143337655,3,3,1686.0,06821500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10250002,North Fork Republican,1.288947484973141,4,5,4880.0,06824500,marginal,False,,interior,,,,,,,,,,,,,,,reject_rsr
10250003,South Fork Republican,75.5920251492673,2,5,2740.0,06827500,True,False,,interior,6459,1.2387712101888517,19.129078747002847,50.51498959410924,0.3828766062858028,0.13841151881096145,1.6876585464126446,1.6674634709678324,431.93858893753213,724.7268898556789,0.07763252262779687,0.2286787957872482,21.591241180406296,21.362562384619046,reject_rsr
10250005,Frenchman,0.951938415832863,4,7,2990.0,06835500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10260004,Upper Niobrara,,0,1,1432.0,06859500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
11020001,Arkansas Headwaters,0.5851578295723948,17,33,2459.0,07094500,True,False,,interior,7597,0.41127574024740815,135.80377909746858,295.2290133084594,0.05344214821640121,0.17625378438857445,1.4188149046016796,1.5007942408306347,405.70438506044366,476.65855847646054,0.02799225644626349,0.12464721286614623,147.69416317841237,147.56951596554623,reject_rsr
11020002,Upper Arkansas,0.5448503381676149,13,34,6254.0,07109500,False,False,likely corridor (max gage drain >=5000 mi2),interior,,,,,,,,,,,,,,,reject
11030001,Middle Arkansas,2.08576469320594,11,13,27071.0,07139000,False,False,likely corridor (max gage drain >=5000 mi2),interior,,,,,,,,,,,,,,,reject
11040002,Upper Cimarron,,0,3,2899.0,07155590,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
11120101,Middle Canadian,,0,2,2075.0,07296100,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
13010001,Rio Grande Headwaters,,0,9,1320.0,08220000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14010001,Colorado Headwaters,,0,110,4558.0,09072500,marginal,False,,western,,,,,,,,,,,,,,,reject_rsr
14020001,Blue River,1.8013511271801776,4,19,476.0,09110000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14050001,Upper Green,0.3111767382887954,21,57,2128.0,09247600,True,False,,western,6319,0.5699944328717466,49.92115351082773,288.6793731563593,0.060610856148124705,0.3434087672100016,0.9012534571771181,0.9121658051689197,616.5761455219559,482.03299713406125,0.1965932308492517,0.3920663292175979,59.68153465422946,59.28946832501186,neither_deep_like_potomac
16010101,Upper Bear,1.1470106774464717,8,23,1616.0,10026500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
17040201,Snake Headwaters,1.123220065611646,6,14,9536.0,13057160,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17040202,Gros Ventre,1.2343811567534189,4,15,656.0,13044000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12030106,Upper Guadalupe,,0,18,1256.0,08062000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12040101,Upper Colorado (TX),,0,11,2800.0,08071500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12050101,Upper Brazos,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12050201,Double Mountain Fork Brazos,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12070102,Upper Nueces,,0,4,1009.0,08110000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
